code,type,neighborhood,rent_value,condominium_value,property_tax,bedrooms,suites,bathrooms,parking_spaces,private_area,furnished,amenities,latitude,longitude
1827,APARTMENT,Pinheiros,4500,1130,325,3,1,3,2,80,False,[],-23.557799,-46.69025
1831,APARTMENT,Pinheiros,3190,1343,406,2,0,1,2,85,False,"['PLAYGROUND', 'PARTY_HALL']",-23.55477,-46.677964
1833,APARTMENT,Água Branca,3000,600,120,2,-,1,1,60,False,"['POOL', 'BALCONY', 'AIR_CONDITIONING', 'SERVICE_AREA', 'KITCHEN_CABINETS']",-23.523121,-46.683059
1837,APARTMENT,Higienópolis,3312,1678,310,2,0,2,1,110,False,"['ELEVATOR', 'KITCHEN', 'GATED_COMMUNITY', 'SERVICE_AREA', 'INTERCOM']",-23.543989,-46.65177
1840,APARTMENT,Sumarezinho,4400,798,201,2,0,2,1,58,False,"['BALCONY', 'KITCHEN', 'SERVICE_AREA']",-23.545899,-46.692587
1843,APARTMENT,Higienópolis,3890,990,220,3,1,3,1,90,True,"['FURNISHED', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.540725,-46.660048
1845,APARTMENT,Perdizes,5000,1000,280,3,1,2,2,100,True,['FURNISHED'],-23.535582,-46.680307
1849,APARTMENT,Perdizes,4200,2650,1027,3,3,1,3,114,False,"['POOL', 'BALCONY', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR']",-23.5402,-46.669183
1853,APARTMENT,Pinheiros,4490,780,100,2,0,1,1,90,False,"['SERVICE_AREA', 'PLAYGROUND', 'SPORTS_COURT']",-23.56186,-46.674539
1854,APARTMENT,Sumarezinho,3500,1100,85,2,1,2,1,57,False,"['POOL', 'GYM', 'SECURITY_24_HOURS', 'PLAYGROUND', 'CHILDRENS_POOL']",-23.551562,-46.68964
1855,APARTMENT,Santa Cecília,4985,1818,400,3,1,2,1,179,False,"['SERVICE_AREA', 'PLAYGROUND', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.538461,-46.658238
1858,APARTMENT,Pinheiros,2400,1248,228,2,-,1,1,60,False,"['ELEVATOR', 'KITCHEN']",-23.560308,-46.696942
1863,APARTMENT,Santa Cecília,4000,2130,762,4,1,4,1,196,False,"['RECEPTION', 'PAY_PER_USE_SERVICES']",-23.539332,-46.657423
1867,APARTMENT,Perdizes,2100,991,285,2,1,3,2,110,False,[],-23.533614,-46.685849
1874,APARTMENT,Pinheiros,4000,1400,433,2,1,2,1,73,False,"['POOL', 'BARBECUE_GRILL', 'GARAGE', 'GOURMET_SPACE', 'GARDEN']",-23.557991,-46.68879
1875,APARTMENT,Pinheiros,5000,1350,559,3,1,4,2,113,False,[],-23.555684,-46.678293
1877,APARTMENT,Água Branca,3590,400,200,2,1,2,1,113,False,"['GOURMET_BALCONY', 'SERVICE_AREA']",-23.527144,-46.677448
1879,APARTMENT,Higienópolis,3185,2100,340,3,1,2,1,120,False,"['SERVICE_AREA', 'PARTY_HALL', 'COPA']",-23.547032,-46.65503
1881,APARTMENT,Pinheiros,5000,950,110,2,1,2,1,60,False,"['GATED_COMMUNITY', 'GOURMET_SPACE', 'ELECTRIC_GENERATOR', 'ADULT_GAME_ROOM']",-23.561468,-46.683324
1884,APARTMENT,Higienópolis,2300,400,30,2,-,1,-,77,False,['KITCHEN'],-23.544215,-46.651587
1885,APARTMENT,Santa Cecília,5000,1070,428,3,1,3,2,80,False,"['GYM', 'ELEVATOR', 'GATED_COMMUNITY', 'GOURMET_SPACE', 'PETS_ALLOWED']",-23.534176,-46.660388
1887,APARTMENT,Pinheiros,4500,978,2600,2,0,2,1,66,False,"['RECEPTION', 'PAY_PER_USE_SERVICES']",-23.563438,-46.684919
1889,APARTMENT,Santa Cecília,3185,526,195,2,1,1,1,60,False,['PARTY_HALL'],-23.532862,-46.659961
1890,APARTMENT,Vila Madalena,2700,1179,179,3,-,2,2,89,False,"['ELEVATOR', 'GATED_COMMUNITY', 'PLAYGROUND', 'PARTY_HALL']",-23.547931,-46.693109
1891,APARTMENT,Vila Madalena,4500,1075,280,2,2,3,1,95,False,"['POOL', 'BALCONY', 'GYM', 'BARBECUE_GRILL', 'SECURITY_24_HOURS']",-23.552754,-46.698084
1898,APARTMENT,Perdizes,2500,280,,2,0,2,1,69,False,"['SERVICE_AREA', 'KITCHEN_CABINETS']",-23.539393,-46.672449
1899,APARTMENT,Sumarezinho,4500,725,237,2,0,2,1,64,False,[],-23.547696,-46.690796
1901,APARTMENT,Vila Buarque,3485,796,379,2,1,1,2,70,False,"['PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.538353,-46.653598
1903,APARTMENT,Perdizes,2300,715,50,2,-,1,1,55,False,"['POOL', 'ELEVATOR', 'GARDEN', 'ADULT_GAME_ROOM']",-23.534133,-46.685511
1904,APARTMENT,Santa Cecília,4685,950,438,3,1,3,2,80,False,"['SERVICE_AREA', 'PLAYGROUND']",-23.534383,-46.659965
1905,APARTMENT,Perdizes,2800,250,100,2,-,2,1,80,False,['KITCHEN'],-23.542534,-46.68421
1908,APARTMENT,Sumaré,4000,887,92,2,1,2,1,57,False,[],-23.542368,-46.685057
1910,APARTMENT,Perdizes,3500,1005,288,3,1,1,2,107,False,"['ELEVATOR', 'GATED_COMMUNITY', 'GARDEN', 'PARTY_HALL', 'SPORTS_COURT']",-23.543166,-46.673022
1911,APARTMENT,Higienópolis,5000,1440,440,3,1,3,1,127,False,[],-23.547918,-46.660711
1912,APARTMENT,Perdizes,5000,1400,510,3,1,3,2,110,False,"['POOL', 'BALCONY', 'BARBECUE_GRILL', 'SERVICE_AREA', 'SPORTS_COURT']",-23.545038,-46.68855
1913,APARTMENT,Vila Buarque,3485,796,379,2,1,2,2,70,False,"['GOURMET_BALCONY', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.538353,-46.653598
1914,APARTMENT,Perdizes,3500,1005,288,3,1,3,2,107,False,"['ELEVATOR', 'GARDEN', 'PARTY_HALL', 'SPORTS_COURT']",-23.543166,-46.673022
1915,APARTMENT,Higienópolis,3885,990,220,3,1,3,1,90,True,"['FURNISHED', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.540725,-46.660048
1916,APARTMENT,Vila Pompéia,3000,1000,207,3,1,3,2,76,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.53488,-46.69004
1917,APARTMENT,Pinheiros,3500,729,228,2,0,1,1,63,False,"['POOL', 'BALCONY', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR']",-23.556747,-46.677394
1923,APARTMENT,Jardim Vera Cruz,2700,670,,3,0,2,0,80,False,[],-23.543967,-46.691081
1924,APARTMENT,Higienópolis,3000,1963,395,3,0,2,1,176,False,"['SERVICE_AREA', 'SECURITY_24_HOURS']",-23.546784,-46.656635
1925,APARTMENT,Higienópolis,3990,4396,1170,3,2,4,2,180,False,"['POOL', 'AIR_CONDITIONING', 'PARTY_HALL', 'ADULT_POOL']",-23.545204,-46.654637
1928,APARTMENT,Vila Anglo Brasileira,2300,690,42,2,-,1,1,62,False,"['BARBECUE_GRILL', 'SPORTS_COURT', 'KITCHEN_CABINETS']",-23.535442,-46.695047
1929,APARTMENT,Perdizes,900000,1431,425,3,2,4,2,115,False,"['ELEVATOR', 'GATED_COMMUNITY', 'GARDEN', 'PETS_ALLOWED', 'PARTY_HALL']",-23.539404,-46.670375
1932,APARTMENT,Cerqueira César,2400,881,171,2,0,2,1,90,False,"['ELEVATOR', 'GATED_COMMUNITY', 'PARTY_HALL']",-23.562976,-46.6754
1933,APARTMENT,Liberdade,1950,408,46,2,0,1,1,74,False,"['ELEVATOR', 'GATED_COMMUNITY', 'SERVICE_AREA', 'GARDEN', 'PLAYGROUND']",-23.564758,-46.63635
1934,APARTMENT,Liberdade,2600,811,0,3,-,2,1,85,False,"['GYM', 'ELEVATOR', 'GATED_COMMUNITY', 'PETS_ALLOWED', 'PARTY_HALL']",-23.559933,-46.634739
1935,APARTMENT,Vila Pompéia,3280,880,160,3,0,1,2,75,False,[],-23.530753,-46.688148
1937,APARTMENT,Pinheiros,4990,2683,838,3,1,2,2,145,False,"['AIR_CONDITIONING', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'CLOSET']",-23.553625,-46.693002
1941,APARTMENT,Vila Madalena,2450,555,262,2,-,1,1,57,False,[],-23.546616,-46.693984
1946,APARTMENT,Pinheiros,4000,720,120,3,0,2,0,85,False,[],-23.562637,-46.699166
1947,APARTMENT,Perdizes,3500,841,251,2,1,2,2,67,False,"['BARBECUE_GRILL', 'KITCHEN', 'HEATING', 'RECEPTION', 'PAY_PER_USE_SERVICES']",-23.538184,-46.680699
1949,APARTMENT,Higienópolis,3885,1120,220,3,1,3,1,118,False,['SERVICE_AREA'],-23.549005,-46.657301
1953,APARTMENT,Pinheiros,650000,250,380,2,-,2,0,112,False,[],-23.563219,-46.687167
1961,APARTMENT,Pinheiros,2200,596,169,2,-,1,-,70,False,"['ELEVATOR', 'KITCHEN']",-23.56138,-46.687624
1969,APARTMENT,Perdizes,3800,1150,415,3,1,4,2,97,False,"['BALCONY', 'BARBECUE_GRILL', 'KITCHEN']",-23.538144,-46.681824
1970,APARTMENT,Pinheiros,2500,763,56,2,0,2,1,60,False,"['GARAGE', 'ELEVATOR', 'KITCHEN', 'SERVICE_AREA', 'GARDEN']",-23.556723,-46.674118
1972,APARTMENT,Pinheiros,3900,997,433,2,1,3,2,86,False,['RECEPTION'],-23.563356,-46.689064
1973,APARTMENT,Santa Cecília,3490,1800,500,3,1,2,1,170,False,"['SERVICE_AREA', 'PARTY_HALL']",-23.5389,-46.661273
1977,APARTMENT,Higienópolis,3000,1381,340,2,-,2,1,96,False,"['ELEVATOR', 'KITCHEN']",-23.547894,-46.653173
1989,APARTMENT,Pinheiros,3935,1500,353,3,1,2,2,110,False,"['GOURMET_BALCONY', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.57112,-46.696268
1990,APARTMENT,Pinheiros,2100,968,34,2,0,2,1,65,False,"['ELEVATOR', 'GATED_COMMUNITY']",-23.562362,-46.688409
1991,APARTMENT,Perdizes,3250,940,441,3,1,3,1,105,False,"['BARBECUE_GRILL', 'GARAGE', 'PLAYGROUND', 'CHILDRENS_POOL', 'PARTY_HALL']",-23.533384,-46.683356
1992,APARTMENT,Água Branca,3200,732,180,2,0,1,1,60,False,['RECEPTION'],-23.523321,-46.683735
1995,APARTMENT,Pinheiros,3200,1233,360,2,1,3,1,75,False,[],-23.555684,-46.678293
1997,APARTMENT,Cerqueira César,3985,1184,145,3,1,3,1,116,False,[],-23.562737,-46.677097
2000,APARTMENT,Vila Pompéia,760000,1100,100,2,1,2,1,100,False,"['ELEVATOR', 'GATED_COMMUNITY', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.528262,-46.681693
2001,APARTMENT,Pinheiros,4000,750,166,2,1,3,1,93,False,"['POOL', 'BALCONY', 'ELEVATOR', 'SERVICE_AREA', 'DEPOSIT']",-23.562126,-46.695638
2009,APARTMENT,Pinheiros,3100,1250,490,3,1,3,2,100,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.554316,-46.681706
2010,APARTMENT,Liberdade,2070,550,0,2,0,1,0,65,False,"['ELEVATOR', 'GATED_COMMUNITY']",-23.561843,-46.637173
2011,APARTMENT,Perdizes,2700,997,265,2,1,2,2,65,False,"['POOL', 'BALCONY', 'GYM', 'ELEVATOR', 'PETS_ALLOWED']",-23.536428,-46.677501
2013,APARTMENT,Perdizes,2400,970,190,3,1,3,1,83,False,"['POOL', 'BARBECUE_GRILL', 'KITCHEN', 'PLAYGROUND', 'ADULT_GAME_ROOM']",-23.534114,-46.676526
2017,APARTMENT,Perdizes,2400,918,193,2,-,1,1,63,False,"['GYM', 'AIR_CONDITIONING', 'ELEVATOR', 'GATED_COMMUNITY', 'GARDEN']",-23.532724,-46.684407
2021,APARTMENT,Pinheiros,4485,1133,135,2,1,2,1,72,False,"['AIR_CONDITIONING', 'SERVICE_AREA']",-23.563976,-46.68469
2024,APARTMENT,Santa Cecília,880000,1705,545,20,1,2,2,87,False,"['POOL', 'GYM', 'ELEVATOR', 'GATED_COMMUNITY', 'GARDEN']",-23.534561,-46.659955
2027,APARTMENT,Higienópolis,3000,1930,411,3,0,2,1,174,False,"['KITCHEN', 'SERVICE_AREA', 'SECURITY_24_HOURS']",-23.546789,-46.656625
2029,APARTMENT,Vila Pompéia,3500,0,0,2,-,2,1,80,True,"['FURNISHED', 'GYM', 'AIR_CONDITIONING', 'ELEVATOR', 'GATED_COMMUNITY']",-23.533239,-46.687354
2033,APARTMENT,Higienópolis,4490,1473,394,3,1,3,1,123,False,['SERVICE_AREA'],-23.546294,-46.653694
2041,APARTMENT,Pinheiros,3485,1284,290,3,1,2,2,105,False,"['BARBECUE_GRILL', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.57112,-46.696268
2044,APARTMENT,Pinheiros,3000,438,0,2,0,1,0,64,False,['ELEVATOR'],-23.568868,-46.690796
2045,APARTMENT,Perdizes,2400,724,130,2,1,1,1,65,False,"['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'PARTY_HALL']",-23.535115,-46.686135
2048,APARTMENT,Vila Pompéia,3500,1100,400,2,1,2,2,76,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'SERVICE_AREA']",-23.527387,-46.684087
2049,APARTMENT,Perdizes,3185,880,176,2,1,1,2,60,False,"['SERVICE_AREA', 'PLAYGROUND', 'SPORTS_COURT']",-23.537803,-46.675513
2051,APARTMENT,Perdizes,5000,3500,1105,4,4,5,6,223,False,[],-23.533842,-46.681676
2053,APARTMENT,Perdizes,2150,1135,235,2,-,1,1,85,False,"['GATED_COMMUNITY', 'GARDEN', 'PARTY_HALL']",-23.535651,-46.668706
2055,APARTMENT,Pinheiros,4990,1980,630,3,1,2,2,120,False,['RECEPTION'],-23.563438,-46.684919
2060,APARTMENT,Pinheiros,3900,987,410,2,1,2,2,85,False,"['POOL', 'BALCONY', 'GYM', 'KITCHEN']",-23.563596,-46.689214
2061,APARTMENT,Perdizes,3385,1160,308,3,1,2,1,106,False,"['POOL', 'GOURMET_BALCONY', 'BARBECUE_GRILL', 'SERVICE_AREA', 'PLAYGROUND']",-23.535952,-46.680124
2064,APARTMENT,Perdizes,2600,650,70,2,0,2,1,70,False,[],-23.534677,-46.681305
2067,APARTMENT,Pinheiros,4500,1130,350,3,1,3,2,80,False,[],-23.557799,-46.69025
2069,APARTMENT,Santa Cecília,4985,3000,1990,3,1,2,2,220,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'CLOSET']",-23.542545,-46.663815
2071,APARTMENT,Pinheiros,2400,660,175,2,0,1,0,73,False,"['ELEVATOR', 'GATED_COMMUNITY', 'PETS_ALLOWED']",-23.566531,-46.69101
2075,APARTMENT,Perdizes,4200,1240,314,3,0,3,2,120,True,"['FURNISHED', 'POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.535578,-46.671152
2076,APARTMENT,Liberdade,1900,650,72,3,-,2,1,85,False,['SERVICE_AREA'],-23.564772,-46.63865
2077,APARTMENT,Liberdade,1500,798,93,3,0,2,0,70,False,['ELEVATOR'],-23.561817,-46.636418
2079,APARTMENT,Consolação,2800,1063,323,2,1,2,1,74,False,"['GARAGE', 'LAUNDRY']",-23.550448,-46.649806
2081,APARTMENT,Pinheiros,4585,1250,433,2,1,2,1,73,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'ADULT_GAME_ROOM']",-23.550998,-46.693692
2083,APARTMENT,Pinheiros,2600,550,54,2,0,1,0,75,False,"['ELEVATOR', 'KITCHEN', 'SERVICE_AREA', 'INTERCOM', 'CABLE_TV']",-23.564782,-46.692142
2086,APARTMENT,Perdizes,1900,1170,218,2,0,2,1,97,False,"['GYM', 'GARAGE', 'SAFETY_CIRCUIT']",-23.540668,-46.670422
2087,APARTMENT,Pinheiros,3900,600,1900,3,3,3,2,130,False,"['BALCONY', 'GYM', 'BARBECUE_GRILL', 'AIR_CONDITIONING', 'ELEVATOR']",-23.55913,-46.689437
2091,APARTMENT,Vila Anglo Brasileira,2200,1100,258,3,0,1,1,95,False,"['ELEVATOR', 'KITCHEN', 'SERVICE_AREA', 'INTERCOM', 'ALARM_SYSTEM']",-23.529118,-46.69093
2092,APARTMENT,Pinheiros,3500,914,103,3,0,2,1,100,False,"['GATED_COMMUNITY', 'SERVICE_AREA']",-23.557875,-46.677546
2093,APARTMENT,Pinheiros,3185,998,286,2,0,1,1,69,False,['PARTY_HALL'],-23.5529,-46.677953
2094,APARTMENT,Perdizes,499000,533,53,2,-,1,-,56,False,[],-23.539417,-46.681648
2095,APARTMENT,Vila Pompéia,2200,511,142,2,0,2,1,82,False,"['GARAGE', 'KITCHEN', 'SERVICE_AREA', 'GARDEN', 'INTERCOM']",-23.532031,-46.688983
2097,APARTMENT,Higienópolis,3985,2100,309,3,1,3,2,160,False,"['SERVICE_AREA', 'COPA']",-23.544008,-46.66159
2101,APARTMENT,Pinheiros,4490,820,330,2,2,2,2,65,False,"['SERVICE_AREA', 'PARTY_HALL', 'ADULT_GAME_ROOM']",-23.565021,-46.686322
2109,APARTMENT,Perdizes,3800,1040,390,3,1,2,2,97,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.535543,-46.68018
2110,APARTMENT,Perdizes,3500,2670,1120,3,3,5,3,114,False,[],-23.536513,-46.674865
2111,APARTMENT,Higienópolis,4500,1473,394,3,1,3,1,121,False,"['ELEVATOR', 'GATED_COMMUNITY', 'GARDEN']",-23.546294,-46.653694
2113,APARTMENT,Pinheiros,2900,896,125,2,0,2,1,60,False,"['KITCHEN', 'SERVICE_AREA', 'ADULT_GAME_ROOM']",-23.558158,-46.676926
2115,APARTMENT,Pinheiros,4500,1250,330,3,1,3,2,86,False,['RECEPTION'],-23.562637,-46.699166
2117,APARTMENT,Pinheiros,3985,1902,300,2,1,2,1,136,False,['SERVICE_AREA'],-23.561474,-46.698025
2122,APARTMENT,Vila Madalena,4500,1200,450,2,1,1,2,70,False,[],-23.552942,-46.69789
2129,APARTMENT,Sumarezinho,4400,730,200,2,0,2,1,58,True,"['FURNISHED', 'POOL', 'GYM', 'BARBECUE_GRILL', 'SERVICE_AREA']",-23.546409,-46.69205
2132,APARTMENT,Perdizes,2600,220,100,2,-,2,1,75,False,['KITCHEN'],-23.542534,-46.68421
2137,APARTMENT,Cerqueira César,3500,1000,200,2,0,1,1,90,False,[],-23.559286,-46.676978
2138,APARTMENT,Pinheiros,3200,1200,144,2,1,2,1,54,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'GATED_COMMUNITY', 'GOURMET_SPACE']",-23.560095,-46.698843
2139,APARTMENT,Higienópolis,5000,1440,440,3,1,3,1,127,False,[],-23.547918,-46.660711
2141,APARTMENT,Santa Cecília,3190,526,195,2,1,1,1,60,False,['PARTY_HALL'],-23.532862,-46.659961
2142,APARTMENT,Vila Madalena,2500,1300,200,3,0,2,1,65,False,"['POOL', 'BALCONY', 'ELEVATOR', 'INTERCOM']",-23.553893,-46.696092
2144,APARTMENT,Perdizes,2400,1300,306,2,1,2,1,70,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'PETS_ALLOWED']",-23.53191,-46.674741
2145,APARTMENT,Pinheiros,4100,1233,303,2,1,3,1,75,True,"['FURNISHED', 'POOL', 'BALCONY', 'GYM', 'ELEVATOR']",-23.556463,-46.677856
2147,APARTMENT,Pinheiros,4700,1000,380,2,-,2,2,80,True,"['FURNISHED', 'POOL', 'GYM', 'BARBECUE_GRILL', 'KITCHEN']",-23.563473,-46.679992
2149,APARTMENT,Perdizes,4990,3800,1005,4,3,3,3,170,False,"['SERVICE_AREA', 'PARTY_HALL', 'FIREPLACE']",-23.537563,-46.683087
2151,APARTMENT,Pinheiros,2900,1097,115,2,1,1,1,58,False,['KITCHEN'],-23.555295,-46.677162
2153,APARTMENT,Liberdade,5000,800,200,2,0,2,1,75,True,"['FURNISHED', 'POOL', 'GYM', 'AIR_CONDITIONING', 'ELEVATOR']",-23.564416,-46.639611
2156,APARTMENT,Vila Pompéia,2200,880,330,3,-,1,2,76,False,"['ELEVATOR', 'SERVICE_AREA', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL']",-23.530753,-46.688148
2157,APARTMENT,Vila Pompéia,3435,920,141,3,0,2,1,75,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'ADULT_GAME_ROOM']",-23.533885,-46.691474
2161,APARTMENT,Vila Pompéia,1900,707,51,2,0,1,0,52,False,[],-23.530938,-46.687361
2162,APARTMENT,Pinheiros,3750,1200,202,3,1,2,1,95,False,"['ELEVATOR', 'SERVICE_AREA', 'PLAYGROUND', 'BUILTIN_WARDROBE', 'KITCHEN_CABINETS']",-23.564706,-46.682675
2169,APARTMENT,Perdizes,3490,1630,366,3,0,2,1,137,False,"['SERVICE_AREA', 'PARTY_HALL']",-23.538446,-46.668834
2170,APARTMENT,Perdizes,4400,1679,620,3,1,3,2,138,False,"['POOL', 'ELEVATOR', 'GATED_COMMUNITY', 'GARDEN', 'PLAYGROUND']",-23.541545,-46.671659
2174,APARTMENT,Vila Madalena,3000,700,190,2,0,2,1,75,False,"['ELEVATOR', 'GATED_COMMUNITY', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL']",-23.552044,-46.698411
2180,APARTMENT,Santa Cecília,4485,1198,458,3,1,2,3,98,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.535868,-46.660479
2185,APARTMENT,Vila Pompéia,2600,907,133,2,1,1,2,60,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'GARDEN', 'PLAYGROUND']",-23.529446,-46.687009
2187,APARTMENT,Pinheiros,3300,657,516,2,0,1,1,49,False,[],-23.560304,-46.686067
2189,APARTMENT,Santa Cecília,4740,1400,420,3,1,3,1,142,False,"['SERVICE_AREA', 'PARTY_HALL', 'COPA']",-23.535623,-46.659221
2191,APARTMENT,Pinheiros,2000,524,,2,-,1,-,65,False,['SERVICE_AREA'],-23.557799,-46.69025
2193,APARTMENT,Pinheiros,4490,805,275,2,1,2,1,60,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.567014,-46.691187
2199,APARTMENT,Pinheiros,3500,730,229,2,0,1,1,60,False,[],-23.555684,-46.678293
2201,APARTMENT,Vila Buarque,2000,941,55,2,0,2,1,80,False,"['ELEVATOR', 'GATED_COMMUNITY', 'SERVICE_AREA', 'PETS_ALLOWED', 'GARDEN']",-23.546456,-46.650258
2202,APARTMENT,Vila Madalena,3000,691,196,2,0,2,1,70,False,[],-23.551925,-46.69846
2204,APARTMENT,Perdizes,2890,822,272,2,1,2,2,55,False,"['POOL', 'GOURMET_BALCONY', 'BARBECUE_GRILL', 'SERVICE_AREA', 'PLAYGROUND']",-23.537803,-46.675513
2205,APARTMENT,Higienópolis,2900,700,360,3,-,2,1,100,False,"['ELEVATOR', 'GATED_COMMUNITY', 'SERVICE_AREA', 'INTERCOM']",-23.543406,-46.651695
2206,APARTMENT,Santa Cecília,4500,1690,376,4,1,3,2,119,False,"['BACKYARD', 'GARAGE', 'SERVICE_AREA', 'SECURITY_24_HOURS', 'PLAYGROUND']",-23.536105,-46.656959
2207,APARTMENT,Pinheiros,2200,903,53,2,0,2,1,63,False,"['ELEVATOR', 'GATED_COMMUNITY']",-23.562362,-46.688409
2214,APARTMENT,Higienópolis,2500,1617,210,2,-,1,-,105,False,"['ELEVATOR', 'GATED_COMMUNITY', 'INTERCOM']",-23.542408,-46.66231
2215,APARTMENT,Pinheiros,4590,1250,433,2,1,2,1,73,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'ADULT_GAME_ROOM']",-23.550998,-46.693692
2217,APARTMENT,Jardim das Bandeiras,3190,1200,370,2,1,2,2,70,False,"['SERVICE_AREA', 'PARTY_HALL', 'HOME_OFFICE']",-23.555034,-46.686267
2218,APARTMENT,Liberdade,1950,408,46,2,0,1,1,74,False,"['ELEVATOR', 'GATED_COMMUNITY', 'SERVICE_AREA', 'GARDEN', 'PLAYGROUND']",-23.564758,-46.63635
2221,APARTMENT,Pinheiros,2300,150,273,3,-,1,-,100,False,"['BALCONY', 'SERVICE_AREA']",-23.56135,-46.683822
2223,APARTMENT,Higienópolis,2800,1158,195,2,0,2,1,69,False,[],-23.545703,-46.659957
2225,APARTMENT,Higienópolis,3985,4396,1170,3,2,4,2,180,False,"['POOL', 'AIR_CONDITIONING', 'PARTY_HALL', 'ADULT_POOL']",-23.545204,-46.654637
2235,APARTMENT,Higienópolis,3000,1070,206,2,0,2,1,100,False,[],-23.54545,-46.657417
2237,APARTMENT,Perdizes,3290,2750,300,3,1,3,2,160,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.538828,-46.672834
2240,APARTMENT,Pinheiros,4890,1157,330,4,2,2,2,107,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.560462,-46.684074
2241,APARTMENT,Santa Cecília,4300,2200,4500,3,1,4,2,190,False,"['AIR_CONDITIONING', 'GARAGE', 'ELEVATOR', 'KITCHEN', 'GATED_COMMUNITY']",-23.538101,-46.654653
2242,APARTMENT,Perdizes,1800,1350,270,2,0,2,1,106,False,"['ELEVATOR', 'KITCHEN', 'SERVICE_AREA', 'INTERCOM', 'ALARM_SYSTEM']",-23.534441,-46.665779
2247,APARTMENT,Pinheiros,3200,856,206,2,0,1,1,62,False,"['KITCHEN', 'RECEPTION']",-23.557799,-46.69025
2249,APARTMENT,Pinheiros,4900,977,2600,2,0,2,1,66,False,[],-23.561484,-46.68655
2251,APARTMENT,Pinheiros,4500,1250,330,3,1,3,2,86,False,['RECEPTION'],-23.562637,-46.699166
2253,APARTMENT,Vila Madalena,1800,1300,0,3,-,2,1,73,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'SERVICE_AREA']",-23.548543,-46.693378
2257,APARTMENT,Vila Pompéia,2700,788,241,3,1,2,2,80,False,[],-23.528912,-46.685803
2259,APARTMENT,Sumarezinho,3200,1700,350,3,1,2,2,96,False,"['BACKYARD', 'KITCHEN', 'RECEPTION']",-23.551391,-46.690719
2261,APARTMENT,Vila Madalena,3235,1000,551,3,1,2,2,90,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.541757,-46.701762
2265,APARTMENT,Pinheiros,2500,1040,150,2,1,2,1,86,False,[],-23.554041,-46.679044
2271,APARTMENT,Pinheiros,5000,1310,112,3,1,3,1,112,False,[],-23.565142,-46.679746
2272,APARTMENT,Pinheiros,4300,1445,483,2,1,3,2,86,True,"['FURNISHED', 'POOL', 'GYM', 'AIR_CONDITIONING', 'ELEVATOR']",-23.557695,-46.679215
2273,APARTMENT,Perdizes,3485,3000,400,3,1,3,1,170,False,['SERVICE_AREA'],-23.539349,-46.669431
2278,APARTMENT,Higienópolis,3500,600,43,2,0,2,1,89,False,['RECEPTION'],-23.548146,-46.658914
